001,客が,ヒンパン,に訪れる。,頻繁
002,師の話に生き方の,シサ,を与えられる。,示唆
003,計画が,ハタン,することを恐れる。,破綻
004,転職することになった,ケイイ,を話す,経緯
005,世間に,シントウ,した考え,浸透
006,失敗こそが成功の,ケイキ,となる。,契機
007,視線を気にして窓をカーテンで,オオ,う。,覆
008,獲得した自由を,キョウジュ,する。,享受
009,暗闇に,ヒソ,み、待ち伏せる。,潜
010,,ボウダイ,な赤字を抱える。,膨大
011,温暖化の傾向が,ケンチョ,である。,顕著
012,衛生管理を,テッテイ,し食中毒を防ぐ。,徹底
013,運命に,ホンロウ,される。,翻弄
014,,チクセキ,した知識を活用する。,蓄積
015,実力を十分に,ハッキ,する。,発揮
016,社会の,チツジョ,を重んじる。,秩序
017,遺産相続の権利を,ホウキ,する。,放棄
018,思い切った改革を,テイショウ,する。,提唱
019,反対するだけでなく,ダイタイ,案を用意する。,代替
020,幸福な,ショウガイ,を送る。,生涯
021,子どもが持つべき権利を,ヨウゴ,する。,擁護
022,兵役につくことを,キヒ,する。,忌避
023,最先端の技術を,クシ,する。,駆使
024,自由は国民の,フダン,の努力により保たれる。,不断
025,今回の処分は極めて,ダトウ,だ。,妥当
026,遺族の生活を,ホショウ,する。,保障
027,全員の参加を,ウナガ,す。,促
028,世代間の,ヘダ,たりを埋める。,隔
029,情が,カラ,むと適切な判断ができない。,絡
030,世論を,カンキ,する発言。,喚起
031,文化の継承には,モホウ,が大きな役割を持つ。,模倣
032,不正の発覚で,ケンイ,が失墜する。,権威
033,敵の情勢を,ハアク,する。,把握
034,字を,テイネイ,に書く。,丁寧
035,,ジョウキ,を逸した態度。,常軌
036,科学に,イキョ,する現代の技術。,依拠
037,兄は優等生の,テンケイ,だ。,典型
038,確かな,キハン,を失った現代社会。,規範
039,新年にあたって一層の,ヒヤク,を誓う。,飛躍
040,,ネラ,った獲物は逃さない。,狙
041,図書館の活用を,スイショウ,する。,推奨
042,主人公の内面の,カットウ,が描かれた小説。,葛藤
043,メディアは情報を,バイカイ,する。,媒介
044,作物の育成に適した,ドジョウ,。,土壌
045,,カンヨウ,な態度をとる。,寛容
046,悪事が,ロテイ,する。,露呈
047,戦いに備えて高台に大砲を,ス,える。,据
048,長年の善行を,ケンショウ,し、感謝状を贈る。,顕彰
049,会いたいという,ショウドウ,にかられる。,衝動
050,生命の,コンセキ,が残る惑星が発見された。,痕跡
051,平和な生活を,オビヤ,かす戦争の影。,脅
052,,ヤッカイ,な問題が次々と起こる。,厄介
053,文明から,カクゼツ,した地域を調査する。,隔絶
054,競技会で新しい技を,ヒロウ,する。,披露
055,つい話が,イツダツ,してしまった。,逸脱
056,両者の違いが,タンテキ,に表れる。,端的
057,オーロラの,ミリョク,にとりつかれる。,魅力
058,自意識,カジョウ,だと言われる。,過剰
059,,リンカク,を丁寧になぞる。,輪郭
060,未知なる異文化と,ソウグウ,する。,遭遇
061,,チミツ,に練り上げられた報告書。,緻密
062,人類の進歩に,コウケン,する。,貢献
063,,ケンキョ,な態度に好感をもつ。,謙虚
064,弟子の,イチジル,しい成長を喜ぶ。,著
065,障害となる物を,ハイジョ,する。,排除
066,,センサイ,な性格ゆえに傷つく。,繊細
067,不祥事を起こした大臣が,コウテツ,される。,更迭
068,自然に対して,イケイ,の念を持つ。,畏敬
069,放物線の,キドウ,を描く。,軌道
070,前言を,ヒルガエ,す。,翻
071,正岡子規は万葉集に,ケイトウ,した。,傾倒
072,突然の出来事に,ドウヨウ,する。,動揺
073,資料の返却を,トクソク,する。,督促
074,窓からの,ナガ,めに心を奪われる。,眺
075,,フヘン,は特殊と対をなす概念だ。,普遍
076,お香の魅力は,コクウ,に消えるところにある。,虚空
077,体力の,イジ,に努める。,維持
078,自らの,ゴウマン,な言動を改める。,傲慢
079,敵の勢いに,アットウ,される。,圧倒
080,,トホウ,もなく遠い道のり。,途方
081,サンプルを,チュウシュツ,する。,抽出
082,時間に,ソクバク,される。,束縛
083,,アイマイ,な返事をする。,曖昧
084,地域を,ジュンカン,するバスに乗る。,循環
085,尊い人命を,ギセイ,にしてはならない。,犠牲
086,携帯電話が世代を超えて,フキュウ,する。,普及
087,力の,キンコウ,を保つ。,均衡
088,ジレンマに,オチイ,る。,陥
089,,ツム,いだ糸を染める。,紡
090,,ジンソク,に事を進める。,迅速
091,,イゼン,として態度を改める気配がない。,依然
092,動物は生物に,ホウセツ,される概念だ。,包摂
093,騒音を,シャダン,する。,遮断
094,利益を社会に,カンゲン,する。,還元
095,記憶を,ソウシツ,する。,喪失
096,,カクシン,をつく発言。,核心
097,経済的な,キバン,を築く。,基盤
098,家庭の,ホウカイ,が問題となる。,崩壊
099,かつては外国の製品が,スウハイ,された。,崇拝
100,むやみに他人に,カンショウ,する。,干渉
101,ようやくその日の,糧,にありつく。,かて
102,徳川幕府の,瓦解,を描いた歴史小説。,がかい
103,法律を,遵守,することは国民の義務だ。,じゅんしゅ
104,このままでは敗北は,必定,だ。,ひつじょう
105,悪いイメージを,払拭,する。,ふっしょく
106,虚偽の情報が,流布,する。,るふ
107,結果に,拘泥,する。,こうでい
108,神仏に,帰依,する。,きえ
109,逃げようとする敵を,威嚇,する。,いかく
110,両者の意見に,齟齬,をきたす。,そご
111,,俄,に空が暗くなり雷鳴がとどろいた。,にわか
112,一抹の,懸念,を抱く。,けねん
113,人心の,乖離,に苦しむ政治家。,かいり
114,,屹立,する高層ビルを眺める。,きつりつ
115,,安穏,と生きることが許されない時代。,あんのん
116,原点に,遡,って検証する。,さかのぼ
117,難解な概念を巧みに,敷衍,する。,ふえん
118,両国の間に,軋轢,が生じる。,あつれき
119,相手の言葉を,遮,る。,さえぎ
120,国会議員が地方を,遊説,する。,ゆうぜい
121,年齢を重ねて食の,嗜好,が変わった。,しこう
122,現代の繁栄は,脆弱,な基盤の上にある。,ぜいじゃく
123,美しいハーモニーが,醸,し出される。,かも
124,富士山は聖なる山として,崇,められた。,あが
125,派手な身なりで,気障,なセリフを口にする。,きざ
